Frequency (Hz)	Level (dB)
0.976562	-54.420002
1.953125	-57.114681
2.929688	-60.281643
3.906250	-61.953140
4.882812	-64.563309
5.859375	-66.888977
6.835938	-66.410789
7.812500	-63.641586
8.789062	-63.460373
9.765625	-62.150135
10.742188	-61.392910
11.718750	-59.993591
12.695312	-61.749180
13.671875	-62.285736
14.648438	-62.874477
15.625000	-63.459030
16.601562	-61.879990
17.578125	-59.194752
18.554688	-57.068638
19.531250	-54.137989
20.507812	-51.945469
21.484375	-51.012787
22.460938	-47.174820
23.437500	-47.754971
24.414062	-48.763836
25.390625	-49.882668
26.367188	-53.422455
27.343750	-57.317799
28.320312	-59.947258
29.296875	-60.154812
30.273438	-59.084690
31.250000	-56.764729
32.226562	-57.470024
33.203125	-60.503082
34.179688	-57.755009
35.156250	-57.703045
36.132812	-59.274574
37.109375	-61.497673
38.085938	-60.674934
39.062500	-59.713657
40.039062	-58.900330
41.015625	-58.338238
41.992188	-53.821911
42.968750	-52.912010
43.945312	-51.735111
44.921875	-50.899857
45.898438	-50.197174
46.875000	-49.025028
47.851562	-48.251076
48.828125	-50.326065
49.804688	-55.640804
50.781250	-58.558567
51.757812	-59.708927
52.734375	-58.940723
53.710938	-59.163986
54.687500	-60.173618
55.664062	-58.681030
56.640625	-57.194946
57.617188	-59.088112
58.593750	-60.113323
59.570312	-60.651932
60.546875	-61.531689
61.523438	-60.979126
62.500000	-58.337097
63.476562	-59.247963
64.453125	-58.178398
65.429688	-53.380371
66.406250	-51.554371
67.382812	-50.661140
68.359375	-50.899986
69.335938	-50.441578
70.312500	-50.968468
71.289062	-51.725704
72.265625	-52.102489
73.242188	-52.813427
74.218750	-54.757622
75.195312	-56.509815
76.171875	-57.697365
77.148438	-58.087349
78.125000	-57.788681
79.101562	-58.965176
80.078125	-59.043198
81.054688	-59.288513
82.031250	-60.615391
83.007812	-59.815384
83.984375	-59.498768
84.960938	-59.326645
85.937500	-57.375294
86.914062	-53.677193
87.890625	-53.382137
88.867188	-53.011547
89.843750	-52.905792
90.820312	-53.494957
91.796875	-53.229912
92.773438	-52.579113
93.750000	-51.751572
94.726562	-52.522205
95.703125	-54.625740
96.679688	-55.730934
