Frequency (Hz)	Level (dB)
0.976562	-66.562912
1.953125	-67.919067
2.929688	-71.542732
3.906250	-71.323776
4.882812	-68.965401
5.859375	-66.968750
6.835938	-65.142357
7.812500	-65.239159
8.789062	-62.316902
9.765625	-60.463612
10.742188	-59.463760
11.718750	-59.881424
12.695312	-60.574547
13.671875	-60.332596
14.648438	-60.217152
15.625000	-61.880276
16.601562	-61.721188
17.578125	-62.140942
18.554688	-62.235008
19.531250	-60.735153
20.507812	-57.998730
21.484375	-55.332790
22.460938	-55.854034
23.437500	-57.156231
24.414062	-57.064217
25.390625	-59.263805
26.367188	-61.373215
27.343750	-61.421272
28.320312	-59.444340
29.296875	-60.529144
30.273438	-61.095943
31.250000	-57.621284
32.226562	-57.857426
33.203125	-57.622559
34.179688	-57.551201
35.156250	-59.968380
36.132812	-58.432198
37.109375	-58.575798
38.085938	-57.760620
39.062500	-59.071556
40.039062	-60.418560
41.015625	-58.328152
41.992188	-59.978321
42.968750	-58.084206
43.945312	-57.455429
44.921875	-58.224693
45.898438	-59.806515
46.875000	-59.400692
47.851562	-57.800667
48.828125	-59.457844
49.804688	-58.691860
50.781250	-58.919716
51.757812	-56.855362
52.734375	-57.351738
53.710938	-57.766296
54.687500	-57.125546
55.664062	-56.439465
56.640625	-56.540005
57.617188	-57.109802
58.593750	-58.544220
59.570312	-58.519146
60.546875	-58.362530
61.523438	-58.038639
62.500000	-58.895489
63.476562	-59.695038
64.453125	-59.631756
65.429688	-59.202049
66.406250	-59.718941
67.382812	-57.711140
68.359375	-60.065941
69.335938	-58.581921
70.312500	-57.597591
71.289062	-58.225224
72.265625	-56.817348
73.242188	-58.173321
74.218750	-57.911053
75.195312	-58.585220
76.171875	-58.451752
77.148438	-58.672489
78.125000	-57.648846
79.101562	-57.924164
80.078125	-55.305428
81.054688	-56.820339
82.031250	-57.784199
83.007812	-58.266251
83.984375	-59.567448
84.960938	-60.065960
85.937500	-59.659565
86.914062	-58.267250
87.890625	-58.223122
88.867188	-61.356529
89.843750	-59.380886
90.820312	-59.420952
91.796875	-58.413960
92.773438	-58.460602
93.750000	-58.158665
94.726562	-58.162525
95.703125	-58.739254
96.679688	-59.633965
97.656250	-57.843136
98.632812	-57.066315
99.609375	-58.660210
100.585938	-59.343754
101.562500	-58.036343
102.539062	-56.846310
103.515625	-58.258198
104.492188	-58.728340
105.468750	-58.412659
106.445312	-58.653572
107.421875	-58.491947
108.398438	-59.621262
109.375000	-60.169849
110.351562	-59.860699
111.328125	-59.954433
112.304688	-57.784222
113.281250	-58.407097
114.257812	-58.754707
115.234375	-59.344639
116.210938	-59.499271
117.187500	-58.176991
118.164062	-58.557255
119.140625	-58.926136
120.117188	-57.837025
121.093750	-58.683285
122.070312	-58.886864
123.046875	-58.771740
124.023438	-57.429173
125.000000	-57.055450
125.976562	-59.138367
126.953125	-57.498489
127.929688	-56.736984
128.906250	-58.296841
129.882812	-59.701714
130.859375	-59.332348
131.835938	-59.999866
132.812500	-60.450569
133.789062	-59.000572
134.765625	-59.312202
135.742188	-57.642097
136.718750	-58.376427
137.695312	-59.384586
138.671875	-58.615856
139.648438	-59.167351
140.625000	-58.559517
141.601562	-61.024761
142.578125	-59.592155
143.554688	-58.979931
144.531250	-57.821320
145.507812	-58.012035
146.484375	-59.520813
147.460938	-58.432858
148.437500	-57.836403
149.414062	-57.590252
150.390625	-60.208248
151.367188	-58.359093
152.343750	-60.120285
153.320312	-59.359604
154.296875	-59.592514
155.273438	-60.167130
156.250000	-59.576683
157.226562	-59.361942
158.203125	-58.898415
159.179688	-59.618267
160.156250	-58.380276
161.132812	-57.954815
162.109375	-58.932587
163.085938	-60.470741
164.062500	-59.746834
165.039062	-59.028107
166.015625	-59.532986
166.992188	-59.428913
167.968750	-60.126228
168.945312	-58.165737
169.921875	-59.306126
170.898438	-59.213749
171.875000	-59.259773
172.851562	-57.799782
173.828125	-59.416824
174.804688	-59.381668
175.781250	-58.289307
176.757812	-59.291561
177.734375	-60.001072
178.710938	-60.873062
179.687500	-58.564156
180.664062	-58.910469
181.640625	-58.845631
182.617188	-60.249767
183.593750	-59.720474
184.570312	-58.128071
185.546875	-59.190075
186.523438	-60.371559
187.500000	-60.058846
188.476562	-58.430405
189.453125	-57.221466
190.429688	-58.653107
191.406250	-59.316002
192.382812	-60.909336
193.359375	-59.617332
194.335938	-60.458447
195.312500	-59.296169
196.289062	-60.204300
197.265625	-60.140163
198.242188	-60.719822
199.218750	-61.121296
200.195312	-62.586449
201.171875	-62.443634
202.148438	-60.776524
203.125000	-60.145466
204.101562	-58.998302
205.078125	-58.976727
206.054688	-58.870914
207.031250	-59.120590
208.007812	-59.131664
208.984375	-58.918213
209.960938	-60.602962
210.937500	-60.508125
211.914062	-59.847424
212.890625	-60.178211
213.867188	-61.005726
214.843750	-60.199192
215.820312	-59.999176
216.796875	-59.966415
217.773438	-59.297417
218.750000	-59.469097
219.726562	-60.604446
220.703125	-60.780865
221.679688	-58.723091
222.656250	-58.861362
223.632812	-59.868916
224.609375	-60.595413
225.585938	-59.362461
226.562500	-60.835659
227.539062	-59.767067
228.515625	-59.861103
229.492188	-59.286518
230.468750	-61.660194
231.445312	-59.662193
232.421875	-61.187393
233.398438	-61.528759
234.375000	-60.215244
235.351562	-59.697746
236.328125	-59.079014
237.304688	-59.308411
238.281250	-58.586029
239.257812	-60.184998
240.234375	-59.861088
241.210938	-59.981853
242.187500	-58.103657
243.164062	-59.730396
244.140625	-59.206638
245.117188	-60.284718
246.093750	-59.301170
247.070312	-60.606308
248.046875	-59.664597
249.023438	-59.722553
250.000000	-59.460049
250.976562	-59.188004
251.953125	-59.051399
252.929688	-58.469223
253.906250	-58.939205
254.882812	-59.769115
255.859375	-59.552921
256.835938	-61.661964
257.812500	-58.815788
258.789062	-60.527927
259.765625	-59.824089
260.742188	-59.196499
261.718750	-59.205315
262.695312	-60.728294
263.671875	-60.289009
264.648438	-60.062851
265.625000	-60.548687
266.601562	-60.515797
267.578125	-59.939178
268.554688	-60.027489
269.531250	-61.719864
270.507812	-62.494385
271.484375	-59.646591
272.460938	-59.348343
273.437500	-60.960186
274.414062	-57.594563
275.390625	-58.719791
276.367188	-60.641445
277.343750	-61.372410
278.320312	-61.551819
279.296875	-60.611111
280.273438	-60.166649
281.250000	-61.045757
282.226562	-60.672882
283.203125	-60.564766
284.179688	-60.001324
285.156250	-60.134827
286.132812	-61.348339
287.109375	-62.486526
288.085938	-60.618069
289.062500	-60.195858
290.039062	-60.589901
291.015625	-60.757301
291.992188	-60.091389
292.968750	-59.697979
293.945312	-60.563713
294.921875	-59.818783
295.898438	-60.452671
296.875000	-61.919872
297.851562	-60.358517
298.828125	-59.411858
299.804688	-59.820095
300.781250	-59.765324
301.757812	-59.820686
302.734375	-59.973656
303.710938	-60.671387
304.687500	-61.455292
305.664062	-61.031109
306.640625	-60.244896
307.617188	-60.531605
308.593750	-59.516144
309.570312	-60.152943
310.546875	-61.873249
311.523438	-60.193398
312.500000	-60.423985
313.476562	-60.420410
314.453125	-58.813519
315.429688	-58.175694
316.406250	-61.105511
317.382812	-61.061375
318.359375	-60.235859
319.335938	-59.369076
320.312500	-60.209072
321.289062	-59.598167
322.265625	-59.834515
323.242188	-59.838116
324.218750	-60.074837
325.195312	-62.468304
326.171875	-61.569134
327.148438	-62.796131
328.125000	-59.972294
329.101562	-60.274899
330.078125	-60.917885
331.054688	-59.794468
332.031250	-60.309666
333.007812	-59.619438
333.984375	-60.454754
334.960938	-60.411503
335.937500	-59.360310
336.914062	-60.145332
337.890625	-61.030861
338.867188	-60.368828
339.843750	-61.104866
340.820312	-60.388767
341.796875	-60.495079
342.773438	-60.809605
343.750000	-60.910156
344.726562	-60.009544
345.703125	-58.607151
346.679688	-59.125877
347.656250	-59.726440
348.632812	-60.247021
349.609375	-59.507442
350.585938	-60.427814
351.562500	-59.855770
352.539062	-60.489925
353.515625	-61.008511
354.492188	-60.208572
355.468750	-59.774498
356.445312	-61.691509
357.421875	-61.178722
358.398438	-61.728531
359.375000	-60.783802
360.351562	-60.593269
361.328125	-60.203117
362.304688	-61.597412
363.281250	-60.246887
364.257812	-59.934555
365.234375	-60.993988
366.210938	-59.402012
367.187500	-59.524506
368.164062	-60.140148
369.140625	-59.149788
370.117188	-60.734619
371.093750	-60.536476
372.070312	-59.698811
373.046875	-61.097561
374.023438	-60.881649
375.000000	-60.164967
375.976562	-59.721893
376.953125	-60.511154
377.929688	-59.545643
378.906250	-59.792213
379.882812	-60.307865
380.859375	-60.057587
381.835938	-60.051479
382.812500	-61.637009
383.789062	-60.132137
384.765625	-59.177135
385.742188	-59.531563
386.718750	-58.988605
387.695312	-57.927155
388.671875	-59.506462
389.648438	-60.233345
390.625000	-59.844738
391.601562	-58.771999
392.578125	-59.336487
393.554688	-61.179340
394.531250	-60.060665
395.507812	-60.142403
396.484375	-60.781898
397.460938	-60.647800
398.437500	-59.131840
399.414062	-57.896561
400.390625	-59.506210
401.367188	-59.940113
402.343750	-59.957176
403.320312	-59.870132
404.296875	-58.592369
405.273438	-58.102676
406.250000	-58.926338
407.226562	-58.644600
408.203125	-59.844711
409.179688	-60.326626
410.156250	-58.001682
411.132812	-59.669518
412.109375	-57.498703
413.085938	-58.197968
414.062500	-59.360462
415.039062	-58.896332
416.015625	-59.581688
416.992188	-61.395237
417.968750	-60.463741
418.945312	-60.307720
419.921875	-59.709549
420.898438	-59.908295
421.875000	-58.931789
422.851562	-59.419704
423.828125	-59.937626
424.804688	-60.811245
425.781250	-60.647892
426.757812	-58.384323
427.734375	-58.486317
428.710938	-59.131248
429.687500	-59.808643
430.664062	-58.291355
431.640625	-58.075062
432.617188	-59.885609
433.593750	-58.620903
434.570312	-59.978397
435.546875	-59.189327
436.523438	-59.327560
437.500000	-58.953869
438.476562	-60.126144
439.453125	-59.577286
440.429688	-60.133636
441.406250	-60.218773
442.382812	-60.202484
443.359375	-59.646645
444.335938	-59.723057
445.312500	-60.500622
446.289062	-60.761719
447.265625	-59.885815
448.242188	-59.153168
449.218750	-57.769665
450.195312	-57.847988
451.171875	-58.255768
452.148438	-58.501762
453.125000	-58.471851
454.101562	-59.169529
455.078125	-58.644749
456.054688	-59.130775
457.031250	-60.888260
458.007812	-60.335453
458.984375	-59.092712
459.960938	-59.170242
460.937500	-58.944256
461.914062	-60.565468
462.890625	-60.629883
463.867188	-61.458355
464.843750	-61.032726
465.820312	-60.924644
466.796875	-59.760242
467.773438	-60.549633
468.750000	-60.470299
469.726562	-57.955986
470.703125	-58.753742
471.679688	-60.061275
472.656250	-59.104256
473.632812	-60.620869
474.609375	-58.893444
475.585938	-59.878723
476.562500	-58.660137
477.539062	-60.060436
478.515625	-59.123516
479.492188	-59.875114
480.468750	-58.038914
481.445312	-59.917942
482.421875	-59.371284
483.398438	-59.765083
484.375000	-59.420269
485.351562	-59.469688
486.328125	-60.081615
487.304688	-60.334023
488.281250	-60.263058
489.257812	-60.157070
490.234375	-58.645836
491.210938	-57.269684
492.187500	-57.301918
493.164062	-56.951775
494.140625	-59.501858
495.117188	-57.609241
496.093750	-59.047409
497.070312	-58.348572
498.046875	-58.605103
499.023438	-60.427586
500.000000	-58.975761
500.976562	-59.346390
501.953125	-57.200470
502.929688	-60.576157
503.906250	-59.499821
504.882812	-58.539059
505.859375	-61.240517
506.835938	-61.095432
507.812500	-60.057159
508.789062	-59.835163
509.765625	-59.759136
510.742188	-59.516857
511.718750	-58.943615
512.695312	-58.571384
513.671875	-58.712685
514.648438	-58.105953
515.625000	-57.826389
516.601562	-57.114353
517.578125	-57.418102
518.554688	-57.768196
519.531250	-59.483910
520.507812	-59.561237
521.484375	-59.144863
522.460938	-58.280407
523.437500	-58.623924
524.414062	-58.996643
525.390625	-59.446232
526.367188	-59.255032
527.343750	-59.096184
528.320312	-59.098293
529.296875	-59.984241
530.273438	-59.209614
531.250000	-58.493488
532.226562	-58.859241
533.203125	-59.258198
