Frequency (Hz)	Level (dB)
0.976562	-70.244057
1.953125	-69.464630
2.929688	-70.963860
3.906250	-71.547020
4.882812	-71.405762
5.859375	-72.160973
6.835938	-71.972328
7.812500	-70.767220
8.789062	-70.271751
9.765625	-68.583427
10.742188	-66.835495
11.718750	-68.523888
12.695312	-67.038811
13.671875	-67.838570
14.648438	-66.600853
15.625000	-66.506088
16.601562	-65.311691
17.578125	-64.371338
18.554688	-64.265106
19.531250	-61.129181
20.507812	-59.914055
21.484375	-53.964043
22.460938	-48.671387
23.437500	-48.209610
24.414062	-52.333263
25.390625	-54.586239
26.367188	-57.746487
27.343750	-61.872898
28.320312	-62.988110
29.296875	-63.711910
30.273438	-63.945694
31.250000	-64.391472
32.226562	-64.457375
33.203125	-65.079361
34.179688	-65.993843
35.156250	-66.452019
36.132812	-64.950348
37.109375	-64.493271
38.085938	-64.377403
39.062500	-64.684044
40.039062	-64.086678
41.015625	-63.590767
41.992188	-62.653950
42.968750	-59.912392
43.945312	-58.987854
44.921875	-56.316765
45.898438	-54.968128
46.875000	-53.141037
47.851562	-54.292892
48.828125	-54.465046
49.804688	-57.415821
50.781250	-59.972267
51.757812	-61.634628
52.734375	-62.172153
53.710938	-63.419693
54.687500	-63.147251
55.664062	-63.456230
56.640625	-65.114700
57.617188	-65.335732
58.593750	-64.590820
59.570312	-63.323792
60.546875	-65.082359
61.523438	-63.397202
62.500000	-63.751625
63.476562	-63.658981
64.453125	-61.706924
65.429688	-59.982883
66.406250	-60.488224
67.382812	-58.788422
68.359375	-57.739292
69.335938	-58.397236
70.312500	-57.558933
71.289062	-58.972046
72.265625	-57.311260
73.242188	-56.319557
74.218750	-59.097347
75.195312	-59.461330
76.171875	-62.763927
77.148438	-62.333694
78.125000	-61.713688
79.101562	-64.626755
80.078125	-62.970287
81.054688	-62.544384
82.031250	-64.044838
83.007812	-66.104942
83.984375	-63.105217
84.960938	-64.608124
85.937500	-62.583942
86.914062	-63.424175
87.890625	-63.171772
88.867188	-61.846809
89.843750	-61.194366
90.820312	-61.364742
91.796875	-60.952557
92.773438	-60.407715
93.750000	-60.480766
94.726562	-58.672806
95.703125	-58.696060
96.679688	-58.844868
97.656250	-60.997364
98.632812	-60.332336
99.609375	-59.379795
100.585938	-59.558990
101.562500	-62.648750
102.539062	-61.718422
103.515625	-63.134148
104.492188	-62.400955
105.468750	-63.741085
106.445312	-63.057873
107.421875	-63.469528
108.398438	-61.347481
109.375000	-60.625645
