Frequency (Hz)	Level (dB)
0.976562	-71.879295
1.953125	-70.357315
2.929688	-72.592331
3.906250	-72.521614
4.882812	-71.694420
5.859375	-69.805534
6.835938	-71.096115
7.812500	-70.475441
8.789062	-69.857109
9.765625	-69.139000
10.742188	-66.912552
11.718750	-67.525589
12.695312	-65.997627
13.671875	-67.640427
14.648438	-66.493973
15.625000	-66.818398
16.601562	-66.406677
17.578125	-65.443230
18.554688	-63.713993
19.531250	-61.591995
20.507812	-55.435787
21.484375	-51.773426
22.460938	-49.529026
23.437500	-49.348160
24.414062	-52.725548
25.390625	-57.255604
26.367188	-59.848618
27.343750	-64.092232
28.320312	-64.572006
29.296875	-64.934616
30.273438	-65.730782
31.250000	-65.961151
32.226562	-63.919659
33.203125	-64.098755
34.179688	-65.644844
35.156250	-64.299110
36.132812	-64.724869
37.109375	-65.634155
38.085938	-64.608612
39.062500	-64.582878
40.039062	-63.997520
41.015625	-59.161320
41.992188	-53.050430
42.968750	-55.496262
43.945312	-55.017017
44.921875	-54.622845
45.898438	-52.212322
46.875000	-54.424244
47.851562	-58.375980
48.828125	-59.463867
49.804688	-60.054226
50.781250	-63.336941
51.757812	-63.917213
52.734375	-63.104584
53.710938	-64.444641
54.687500	-62.647015
55.664062	-64.825882
56.640625	-63.989658
57.617188	-64.186028
58.593750	-64.515839
59.570312	-65.221100
60.546875	-63.988979
61.523438	-62.221115
62.500000	-58.561913
63.476562	-58.022057
64.453125	-59.789433
65.429688	-58.885944
66.406250	-58.146374
67.382812	-58.146851
68.359375	-57.214924
69.335938	-56.057098
70.312500	-56.887909
71.289062	-58.785255
72.265625	-57.133331
73.242188	-60.579430
74.218750	-63.132275
75.195312	-64.907753
76.171875	-64.224701
77.148438	-63.644268
78.125000	-63.956032
79.101562	-64.019989
80.078125	-64.497467
81.054688	-63.891247
82.031250	-62.343037
83.007812	-60.613613
83.984375	-58.095543
84.960938	-59.891640
85.937500	-61.357117
86.914062	-59.457294
87.890625	-60.944359
88.867188	-61.025475
89.843750	-60.894173
90.820312	-57.770679
91.796875	-57.153336
92.773438	-58.702747
93.750000	-60.637356
94.726562	-58.516968
95.703125	-57.126629
96.679688	-58.570190
97.656250	-61.359409
98.632812	-63.319767
99.609375	-62.712864
100.585938	-62.997456
101.562500	-63.634609
102.539062	-61.995571
103.515625	-61.611374
104.492188	-60.969982
105.468750	-60.342056
106.445312	-59.817375
107.421875	-61.558895
108.398438	-59.989544
109.375000	-60.658127
110.351562	-61.926235
111.328125	-60.847569
112.304688	-60.111794
113.281250	-60.672249
114.257812	-59.358406
115.234375	-60.886253
116.210938	-61.506920
117.187500	-62.107151
118.164062	-61.667118
119.140625	-61.270336
120.117188	-60.776031
121.093750	-58.407246
122.070312	-61.694927
123.046875	-61.266380
124.023438	-59.344681
125.000000	-59.934879
125.976562	-61.383041
126.953125	-63.304073
127.929688	-62.265419
128.906250	-61.338657
129.882812	-61.913101
130.859375	-61.664684
131.835938	-61.402580
132.812500	-60.736168
133.789062	-62.512848
134.765625	-62.468410
135.742188	-60.344048
136.718750	-60.911713
137.695312	-62.642891
138.671875	-62.357704
139.648438	-61.897633
140.625000	-60.639984
141.601562	-62.021107
142.578125	-61.135166
143.554688	-61.540699
144.531250	-60.471077
145.507812	-59.315079
146.484375	-61.918671
147.460938	-61.588112
148.437500	-61.352303
149.414062	-60.366356
150.390625	-61.232113
151.367188	-60.008331
152.343750	-60.009895
153.320312	-61.430096
154.296875	-62.056755
155.273438	-61.352650
156.250000	-62.118870
157.226562	-62.439442
158.203125	-62.670338
159.179688	-61.188343
160.156250	-62.100304
161.132812	-61.220348
162.109375	-62.365753
163.085938	-61.903545
164.062500	-63.374630
165.039062	-59.292656
166.015625	-62.131332
166.992188	-61.829094
167.968750	-62.272362
168.945312	-62.139381
169.921875	-60.679073
170.898438	-60.878490
171.875000	-63.070389
172.851562	-62.149868
173.828125	-61.307125
174.804688	-61.597054
175.781250	-61.071205
176.757812	-60.937790
177.734375	-61.813839
178.710938	-62.051380
179.687500	-62.901493
180.664062	-62.663387
181.640625	-62.199127
182.617188	-63.264595
183.593750	-62.285305
184.570312	-62.637554
185.546875	-63.448196
186.523438	-60.984913
187.500000	-62.841213
188.476562	-60.998993
189.453125	-60.973900
190.429688	-62.189671
191.406250	-60.926079
192.382812	-61.987183
193.359375	-61.310272
194.335938	-60.675007
195.312500	-59.586594
196.289062	-61.197346
197.265625	-61.825275
198.242188	-60.285233
199.218750	-59.822903
200.195312	-61.590172
201.171875	-61.320442
202.148438	-60.425938
203.125000	-60.251907
204.101562	-61.821617
205.078125	-64.307831
206.054688	-64.306320
207.031250	-62.102146
208.007812	-60.872501
208.984375	-62.383923
209.960938	-62.140095
210.937500	-61.901119
211.914062	-61.910954
212.890625	-61.059494
213.867188	-60.755947
214.843750	-62.173229
215.820312	-61.221180
216.796875	-60.894432
217.773438	-62.444805
218.750000	-60.719147
219.726562	-61.057564
220.703125	-62.368046
