Frequency (Hz)	Level (dB)
0.976562	-74.692902
1.953125	-73.455894
2.929688	-70.453629
3.906250	-67.258141
4.882812	-66.856750
5.859375	-68.704964
6.835938	-71.140343
7.812500	-72.263321
8.789062	-71.007843
9.765625	-69.951454
10.742188	-69.562340
11.718750	-70.289047
12.695312	-71.603500
13.671875	-74.199524
14.648438	-72.648682
15.625000	-73.863014
16.601562	-73.497765
17.578125	-72.897354
18.554688	-70.998344
19.531250	-66.556519
20.507812	-61.969311
21.484375	-61.142162
22.460938	-62.432518
23.437500	-64.227280
24.414062	-65.041336
25.390625	-66.984924
26.367188	-69.409210
27.343750	-70.600792
28.320312	-71.568733
29.296875	-70.335457
30.273438	-70.665298
31.250000	-72.058182
32.226562	-70.825928
33.203125	-70.070038
34.179688	-73.339081
35.156250	-73.409401
36.132812	-72.595474
37.109375	-72.207664
38.085938	-71.312828
39.062500	-70.296425
40.039062	-66.328468
41.015625	-63.875595
41.992188	-62.175510
42.968750	-62.835548
43.945312	-62.901192
44.921875	-65.465820
45.898438	-64.796616
46.875000	-66.934334
47.851562	-68.497742
48.828125	-70.243614
49.804688	-71.991096
50.781250	-71.553352
51.757812	-72.503418
52.734375	-71.661209
53.710938	-70.420891
54.687500	-71.569328
55.664062	-71.817871
56.640625	-72.148087
57.617188	-72.988174
58.593750	-74.323677
59.570312	-71.320862
60.546875	-68.373779
61.523438	-67.752808
62.500000	-65.131599
63.476562	-65.158226
64.453125	-65.384903
65.429688	-67.231575
66.406250	-66.629280
67.382812	-66.894318
68.359375	-67.422310
69.335938	-70.304726
70.312500	-70.155708
71.289062	-68.280952
72.265625	-66.972427
73.242188	-68.505623
74.218750	-70.122276
75.195312	-70.373024
76.171875	-70.375069
77.148438	-70.803627
78.125000	-70.131065
79.101562	-70.918663
80.078125	-72.283791
81.054688	-69.429131
82.031250	-69.244034
83.007812	-66.625557
83.984375	-66.711693
84.960938	-67.862343
85.937500	-66.007004
86.914062	-67.333733
87.890625	-66.646805
88.867188	-66.339096
89.843750	-67.077209
90.820312	-68.586334
91.796875	-68.272728
92.773438	-67.831787
93.750000	-68.266228
94.726562	-67.312469
95.703125	-67.492249
96.679688	-69.054962
97.656250	-71.053436
98.632812	-69.917976
99.609375	-70.017281
100.585938	-69.528145
101.562500	-71.245422
102.539062	-69.393166
103.515625	-68.764511
104.492188	-68.357162
105.468750	-67.247505
106.445312	-69.185875
107.421875	-68.246719
108.398438	-67.431351
109.375000	-68.754173
110.351562	-69.960648
111.328125	-70.033707
112.304688	-68.112282
113.281250	-68.613594
114.257812	-69.106003
115.234375	-69.301674
116.210938	-66.742867
117.187500	-69.864616
118.164062	-69.911011
119.140625	-69.857269
120.117188	-69.834793
121.093750	-71.810097
