Frequency (Hz)	Level (dB)
0.976562	-62.870422
1.953125	-64.335220
2.929688	-64.138885
3.906250	-63.661922
4.882812	-64.937775
5.859375	-63.240601
6.835938	-63.328220
7.812500	-60.895123
8.789062	-60.678951
9.765625	-60.011208
10.742188	-59.054363
11.718750	-59.430431
12.695312	-60.217945
13.671875	-60.587635
14.648438	-59.865200
15.625000	-59.816906
16.601562	-57.848904
17.578125	-58.069199
18.554688	-58.338596
19.531250	-55.798656
20.507812	-54.041290
21.484375	-51.558811
22.460938	-51.832760
23.437500	-52.486191
24.414062	-53.505859
25.390625	-54.971699
26.367188	-54.627888
27.343750	-54.499920
28.320312	-55.343258
29.296875	-57.330833
30.273438	-55.952267
31.250000	-55.194973
32.226562	-56.415146
33.203125	-56.488831
34.179688	-56.290051
35.156250	-56.664295
36.132812	-56.428558
37.109375	-55.449692
38.085938	-55.454449
39.062500	-55.846058
40.039062	-56.067818
41.015625	-57.286194
41.992188	-55.535301
42.968750	-54.111374
43.945312	-53.578709
44.921875	-53.032990
45.898438	-52.953232
46.875000	-52.597778
47.851562	-53.049015
48.828125	-53.191433
49.804688	-52.837517
50.781250	-53.342873
51.757812	-53.293411
52.734375	-54.473713
53.710938	-54.825195
54.687500	-54.834797
55.664062	-56.110897
56.640625	-56.760624
57.617188	-57.437431
58.593750	-56.169178
59.570312	-56.235275
60.546875	-54.435020
61.523438	-55.359650
62.500000	-55.376957
63.476562	-55.402065
64.453125	-55.725368
65.429688	-55.972397
66.406250	-55.283546
67.382812	-55.452744
68.359375	-53.680923
69.335938	-53.480850
70.312500	-53.343510
71.289062	-54.136097
72.265625	-53.920563
73.242188	-54.388416
74.218750	-54.598343
75.195312	-54.592499
76.171875	-54.864655
77.148438	-56.404194
78.125000	-55.474915
79.101562	-55.699177
80.078125	-56.126236
81.054688	-55.543182
82.031250	-57.190395
83.007812	-57.256229
83.984375	-56.251522
84.960938	-55.911671
85.937500	-55.788212
86.914062	-55.689232
87.890625	-56.363251
88.867188	-56.572380
89.843750	-55.262451
90.820312	-54.098846
91.796875	-54.431053
92.773438	-54.334873
93.750000	-52.387032
94.726562	-52.561840
95.703125	-53.200638
96.679688	-54.101963
97.656250	-54.480270
98.632812	-54.753124
99.609375	-54.994579
100.585938	-55.217049
101.562500	-56.935341
102.539062	-55.672588
103.515625	-55.146584
104.492188	-56.187042
105.468750	-57.299313
106.445312	-55.839905
107.421875	-54.981735
108.398438	-55.561253
109.375000	-54.066460
110.351562	-55.441917
111.328125	-55.283638
112.304688	-53.382057
113.281250	-55.059021
114.257812	-53.465179
115.234375	-52.362576
116.210938	-52.347828
117.187500	-53.545738
118.164062	-52.762093
119.140625	-52.844757
120.117188	-52.189198
121.093750	-52.610226
122.070312	-54.383087
123.046875	-55.314754
124.023438	-56.216667
125.000000	-54.715855
125.976562	-54.400036
126.953125	-54.026352
127.929688	-56.145557
128.906250	-55.628372
129.882812	-55.135567
130.859375	-55.324253
131.835938	-54.275166
132.812500	-56.144035
133.789062	-55.670609
134.765625	-55.874985
135.742188	-55.949757
136.718750	-54.734276
137.695312	-52.885265
138.671875	-53.401314
139.648438	-53.340866
140.625000	-53.689056
141.601562	-53.836609
142.578125	-54.418571
143.554688	-54.908630
144.531250	-54.988556
145.507812	-54.871853
