Frequency (Hz)	Level (dB)
0.976562	-59.866665
1.953125	-58.154881
2.929688	-58.350998
3.906250	-59.585712
4.882812	-59.532894
5.859375	-61.826935
6.835938	-62.737221
7.812500	-61.919849
8.789062	-59.363926
9.765625	-58.880730
10.742188	-58.725853
11.718750	-58.104935
12.695312	-58.519257
13.671875	-58.022915
14.648438	-59.714108
15.625000	-56.993916
16.601562	-56.841618
17.578125	-55.419506
18.554688	-53.926113
19.531250	-50.517162
20.507812	-47.075085
21.484375	-47.208939
22.460938	-46.701569
23.437500	-46.550049
24.414062	-46.349163
25.390625	-48.351379
26.367188	-50.911018
27.343750	-51.622955
28.320312	-53.741543
29.296875	-55.351807
30.273438	-55.649895
31.250000	-55.618973
32.226562	-55.379593
33.203125	-57.278572
34.179688	-56.324669
35.156250	-54.440628
36.132812	-56.132061
37.109375	-56.751812
38.085938	-56.086582
39.062500	-53.928658
40.039062	-54.587334
41.015625	-52.246216
41.992188	-51.826614
42.968750	-50.098347
43.945312	-48.956234
44.921875	-49.489098
45.898438	-48.226410
46.875000	-50.430611
47.851562	-50.795013
48.828125	-51.901939
49.804688	-51.926144
50.781250	-51.120041
51.757812	-51.059013
52.734375	-54.459038
53.710938	-54.220070
54.687500	-55.037716
55.664062	-54.992432
56.640625	-55.902954
57.617188	-57.536991
58.593750	-56.436665
59.570312	-55.964260
60.546875	-54.834267
61.523438	-55.851788
62.500000	-54.311771
63.476562	-53.124668
64.453125	-53.268173
65.429688	-52.183201
66.406250	-52.146523
67.382812	-51.317234
68.359375	-51.238956
69.335938	-50.471607
70.312500	-49.511681
71.289062	-51.016224
72.265625	-51.786308
73.242188	-51.674046
74.218750	-50.858429
75.195312	-52.654430
76.171875	-52.926575
77.148438	-53.088306
78.125000	-52.408257
79.101562	-54.605068
80.078125	-53.723610
81.054688	-55.049034
82.031250	-55.233681
83.007812	-55.166454
83.984375	-54.269089
84.960938	-52.793480
85.937500	-53.929443
86.914062	-53.502632
87.890625	-52.621674
88.867188	-52.387302
89.843750	-53.047581
90.820312	-49.964218
91.796875	-51.010624
92.773438	-50.433781
93.750000	-50.733280
94.726562	-52.791985
95.703125	-53.061157
96.679688	-50.711807
97.656250	-53.662933
98.632812	-52.865303
99.609375	-51.696045
100.585938	-52.805889
101.562500	-54.069981
102.539062	-52.908314
103.515625	-54.291798
104.492188	-52.307629
105.468750	-51.992676
106.445312	-52.146854
107.421875	-53.453457
108.398438	-54.389034
109.375000	-55.006428
110.351562	-54.615379
111.328125	-54.305859
112.304688	-52.972927
113.281250	-51.707394
114.257812	-51.187836
115.234375	-52.297852
116.210938	-52.575584
117.187500	-52.907555
118.164062	-53.026695
119.140625	-50.875324
120.117188	-51.097832
121.093750	-51.491512
122.070312	-52.202103
123.046875	-52.722820
124.023438	-52.543812
125.000000	-52.526089
125.976562	-52.124519
126.953125	-53.418953
127.929688	-51.423840
128.906250	-52.680458
129.882812	-53.530811
130.859375	-53.271816
131.835938	-54.035233
132.812500	-55.338913
133.789062	-54.032307
134.765625	-53.254318
135.742188	-52.467503
136.718750	-51.836094
137.695312	-53.459305
138.671875	-52.674767
139.648438	-52.673397
140.625000	-52.856377
141.601562	-54.428825
142.578125	-52.092831
143.554688	-53.997120
144.531250	-53.343449
145.507812	-53.039864
146.484375	-52.291569
147.460938	-51.393814
148.437500	-52.972763
149.414062	-53.453938
150.390625	-52.943085
151.367188	-53.033066
152.343750	-53.585438
153.320312	-53.445641
154.296875	-52.900372
155.273438	-51.529736
156.250000	-51.388222
157.226562	-52.047825
158.203125	-52.343170
159.179688	-51.610863
160.156250	-53.064423
161.132812	-54.142326
162.109375	-54.446964
163.085938	-53.102264
164.062500	-53.055008
165.039062	-51.729160
166.015625	-52.615875
166.992188	-53.072819
167.968750	-52.906494
168.945312	-53.575981
169.921875	-53.396702
170.898438	-52.511349
171.875000	-53.193413
172.851562	-53.535698
173.828125	-54.284138
174.804688	-52.708481
175.781250	-52.694504
176.757812	-52.427517
177.734375	-52.558308
178.710938	-54.215134
179.687500	-53.942844
180.664062	-51.816704
181.640625	-53.055790
182.617188	-51.888176
183.593750	-51.545563
184.570312	-52.535606
185.546875	-52.665096
186.523438	-52.431164
187.500000	-53.144341
188.476562	-52.189297
189.453125	-50.981674
190.429688	-51.371037
191.406250	-52.850178
192.382812	-53.958530
193.359375	-54.901173
194.335938	-53.283344
195.312500	-52.472858
196.289062	-53.894558
197.265625	-54.441425
198.242188	-54.902878
199.218750	-54.010723
200.195312	-52.877464
201.171875	-52.496658
202.148438	-53.948189
203.125000	-51.428024
204.101562	-52.059948
205.078125	-52.355515
206.054688	-53.742489
207.031250	-54.047928
208.007812	-53.756088
208.984375	-52.763264
209.960938	-52.162487
210.937500	-53.267548
211.914062	-53.223476
212.890625	-52.803658
213.867188	-53.266289
214.843750	-51.998940
215.820312	-51.661194
216.796875	-53.187428
217.773438	-54.324928
218.750000	-53.966175
219.726562	-54.132744
220.703125	-54.815910
221.679688	-55.178963
222.656250	-54.263050
223.632812	-53.830135
224.609375	-52.763817
225.585938	-51.321838
226.562500	-50.578022
227.539062	-51.603489
228.515625	-51.911793
229.492188	-53.587036
230.468750	-53.270321
231.445312	-53.637798
232.421875	-51.737057
233.398438	-52.605263
234.375000	-52.684246
235.351562	-52.355804
236.328125	-53.054432
237.304688	-53.153389
238.281250	-52.237816
239.257812	-52.567879
240.234375	-53.302586
241.210938	-53.475521
242.187500	-53.915047
243.164062	-54.557232
244.140625	-56.274124
245.117188	-53.420128
246.093750	-53.051933
247.070312	-54.387684
248.046875	-53.948200
249.023438	-54.354591
250.000000	-54.416718
250.976562	-54.800064
251.953125	-53.645378
252.929688	-53.044552
253.906250	-52.890129
254.882812	-52.642754
255.859375	-52.316257
256.835938	-52.436138
257.812500	-51.824680
258.789062	-50.749729
259.765625	-51.604370
260.742188	-52.088146
261.718750	-51.716724
262.695312	-52.467503
263.671875	-52.286835
264.648438	-52.338417
265.625000	-52.084724
266.601562	-52.708191
267.578125	-53.826397
268.554688	-53.489830
269.531250	-52.981331
270.507812	-54.206825
271.484375	-54.415779
272.460938	-53.977306
273.437500	-54.278416
274.414062	-54.611679
275.390625	-54.712910
276.367188	-54.311985
277.343750	-53.229759
278.320312	-51.720757
279.296875	-52.852531
280.273438	-53.342960
281.250000	-51.949566
282.226562	-51.052017
283.203125	-51.732182
284.179688	-51.766289
285.156250	-50.821545
286.132812	-52.353970
287.109375	-53.090328
288.085938	-53.793434
289.062500	-53.839058
290.039062	-54.198814
291.015625	-54.158566
291.992188	-52.163349
292.968750	-53.111320
293.945312	-52.721706
294.921875	-54.407001
295.898438	-53.564129
296.875000	-53.630917
297.851562	-54.010155
298.828125	-54.588470
299.804688	-52.924305
300.781250	-53.375252
301.757812	-53.151722
302.734375	-51.387180
303.710938	-51.659454
304.687500	-52.073875
305.664062	-53.418728
306.640625	-54.136227
307.617188	-54.361015
308.593750	-52.990871
309.570312	-53.597664
310.546875	-52.673370
311.523438	-53.826668
312.500000	-52.684517
313.476562	-53.368046
314.453125	-55.161316
315.429688	-54.524204
316.406250	-54.537918
317.382812	-53.438595
318.359375	-53.016071
319.335938	-54.332058
320.312500	-53.290394
321.289062	-52.853848
322.265625	-52.697655
323.242188	-52.730427
324.218750	-53.111031
325.195312	-53.596626
326.171875	-53.766018
327.148438	-52.897129
328.125000	-53.353451
329.101562	-54.587925
330.078125	-54.160118
331.054688	-56.390511
332.031250	-56.530937
333.007812	-55.096718
333.984375	-55.377632
334.960938	-54.400131
335.937500	-52.990711
336.914062	-53.714096
337.890625	-52.744793
338.867188	-52.629490
339.843750	-52.860966
340.820312	-52.057758
341.796875	-52.275101
342.773438	-53.626759
343.750000	-52.419361
344.726562	-52.674854
345.703125	-53.012287
346.679688	-53.985699
347.656250	-53.529968
