Frequency (Hz)	Level (dB)
0.976562	-65.614243
1.953125	-64.300201
2.929688	-59.917606
3.906250	-57.015285
4.882812	-54.067574
5.859375	-52.903008
6.835938	-52.360947
7.812500	-50.539017
8.789062	-49.573689
9.765625	-46.654881
10.742188	-46.221809
11.718750	-48.178955
12.695312	-47.669666
13.671875	-46.855644
14.648438	-48.072952
15.625000	-48.569939
16.601562	-49.747047
17.578125	-48.375591
18.554688	-49.885952
19.531250	-48.729244
20.507812	-47.967033
21.484375	-46.994892
22.460938	-46.440956
23.437500	-46.776115
24.414062	-47.613022
25.390625	-46.544338
26.367188	-46.899643
27.343750	-46.482609
28.320312	-47.637192
29.296875	-48.119747
30.273438	-47.011330
31.250000	-48.285660
32.226562	-49.742485
33.203125	-48.401630
34.179688	-48.046577
35.156250	-48.003372
36.132812	-49.574596
37.109375	-51.261093
38.085938	-51.655502
39.062500	-50.123413
40.039062	-51.575626
41.015625	-53.107510
41.992188	-52.011265
42.968750	-53.582355
43.945312	-53.328495
44.921875	-53.544518
45.898438	-54.196030
46.875000	-54.616947
47.851562	-55.306400
48.828125	-55.659233
49.804688	-56.519459
50.781250	-55.703072
51.757812	-54.680218
52.734375	-55.582455
53.710938	-57.541401
54.687500	-57.760113
55.664062	-57.004021
56.640625	-57.695244
57.617188	-59.041317
58.593750	-59.179707
59.570312	-59.979256
60.546875	-60.912029
61.523438	-61.915089
62.500000	-62.279919
63.476562	-63.827713
64.453125	-65.476982
65.429688	-64.697701
66.406250	-64.779625
67.382812	-64.559387
68.359375	-65.718910
69.335938	-66.537598
70.312500	-65.884438
71.289062	-66.127136
72.265625	-66.688972
73.242188	-66.317490
74.218750	-66.392143
75.195312	-68.940582
76.171875	-68.452835
77.148438	-69.094444
78.125000	-70.217308
79.101562	-69.943169
80.078125	-69.112816
81.054688	-71.027916
82.031250	-70.594925
83.007812	-71.126122
83.984375	-72.629555
84.960938	-73.108810
85.937500	-72.399544
86.914062	-72.113380
87.890625	-72.609230
88.867188	-73.056099
89.843750	-74.455780
90.820312	-75.107483
91.796875	-74.983948
92.773438	-75.051598
93.750000	-75.220467
94.726562	-74.254440
95.703125	-75.356415
96.679688	-77.085945
97.656250	-76.607224
98.632812	-76.364410
99.609375	-78.309624
100.585938	-77.518242
101.562500	-76.630112
102.539062	-78.514282
103.515625	-77.314766
104.492188	-78.888924
105.468750	-79.253647
106.445312	-79.309799
107.421875	-78.193306
108.398438	-79.123528
109.375000	-79.099434
110.351562	-79.694176
111.328125	-80.677559
112.304688	-81.351776
113.281250	-80.391289
114.257812	-80.375557
115.234375	-80.696411
116.210938	-81.286804
117.187500	-81.557274
118.164062	-80.704430
119.140625	-81.105591
120.117188	-80.321762
121.093750	-81.999619
122.070312	-81.621544
123.046875	-80.938248
124.023438	-81.380463
125.000000	-82.053879
125.976562	-82.115204
126.953125	-82.999863
127.929688	-82.497368
128.906250	-82.379295
129.882812	-82.904236
130.859375	-83.092239
131.835938	-83.510536
132.812500	-83.094521
133.789062	-84.671654
134.765625	-82.592224
135.742188	-82.709045
136.718750	-83.582497
137.695312	-84.053207
138.671875	-83.657219
139.648438	-82.975006
140.625000	-83.182152
141.601562	-83.301392
142.578125	-83.812340
143.554688	-84.041290
144.531250	-84.041306
145.507812	-83.598763
146.484375	-85.030258
147.460938	-84.174904
148.437500	-83.882751
149.414062	-84.445824
150.390625	-84.637436
151.367188	-84.666557
152.343750	-84.262863
153.320312	-84.194099
154.296875	-84.361320
155.273438	-84.889580
156.250000	-85.623184
157.226562	-84.544128
158.203125	-84.712502
159.179688	-84.845474
160.156250	-84.629204
161.132812	-83.801537
162.109375	-84.509819
163.085938	-84.348511
164.062500	-84.558792
165.039062	-84.963020
166.015625	-84.391457
166.992188	-83.818382
167.968750	-85.095825
168.945312	-84.688286
169.921875	-84.510437
170.898438	-84.370659
171.875000	-84.223991
172.851562	-84.534447
173.828125	-84.078346
174.804688	-84.548615
175.781250	-84.816132
176.757812	-84.945679
177.734375	-85.907288
178.710938	-84.943047
179.687500	-84.691040
180.664062	-85.613693
181.640625	-85.276550
182.617188	-84.795639
183.593750	-85.267586
184.570312	-84.692764
185.546875	-85.121002
186.523438	-85.702499
187.500000	-84.980423
188.476562	-83.728050
189.453125	-85.380844
190.429688	-86.192116
191.406250	-85.329643
192.382812	-85.210938
193.359375	-85.857002
194.335938	-85.281311
195.312500	-85.678886
196.289062	-85.422539
197.265625	-85.345589
198.242188	-85.722229
199.218750	-85.606621
200.195312	-85.851601
201.171875	-85.010971
202.148438	-85.929207
203.125000	-86.109070
204.101562	-85.828270
205.078125	-86.968910
206.054688	-86.114349
207.031250	-85.398064
208.007812	-85.824898
208.984375	-85.273949
209.960938	-82.287697
210.937500	-84.898148
211.914062	-86.649483
212.890625	-85.730339
213.867188	-85.916206
214.843750	-86.786606
215.820312	-85.247612
216.796875	-85.862076
217.773438	-85.958397
218.750000	-85.362724
219.726562	-85.674232
220.703125	-86.715546
221.679688	-86.712158
222.656250	-85.713020
223.632812	-86.400459
224.609375	-86.362740
225.585938	-85.553001
226.562500	-86.370605
227.539062	-86.656754
228.515625	-85.779861
229.492188	-86.648384
230.468750	-86.315605
231.445312	-86.924110
232.421875	-86.975716
233.398438	-87.879791
234.375000	-86.932312
235.351562	-86.584595
236.328125	-87.455559
237.304688	-88.116676
238.281250	-87.949043
239.257812	-88.364067
240.234375	-87.165619
241.210938	-87.739128
242.187500	-87.512115
243.164062	-88.199280
244.140625	-87.700684
245.117188	-86.598091
246.093750	-86.940132
247.070312	-87.290039
248.046875	-87.124008
249.023438	-87.089851
250.000000	-86.616600
250.976562	-87.113052
251.953125	-87.913475
252.929688	-87.929466
253.906250	-87.727112
254.882812	-88.007042
255.859375	-88.022697
256.835938	-87.851974
257.812500	-87.707878
258.789062	-87.955055
259.765625	-87.852913
260.742188	-88.978806
261.718750	-89.140266
262.695312	-88.375214
263.671875	-89.585136
264.648438	-88.480873
265.625000	-88.820763
266.601562	-88.969696
267.578125	-88.321831
268.554688	-88.307182
269.531250	-88.541901
270.507812	-89.315147
271.484375	-88.846298
272.460938	-89.106453
273.437500	-89.591393
274.414062	-88.325653
275.390625	-88.313965
276.367188	-87.216248
277.343750	-88.646889
278.320312	-89.807877
279.296875	-87.414612
280.273438	-88.858955
281.250000	-88.622871
282.226562	-88.849678
283.203125	-88.430725
284.179688	-88.721863
285.156250	-89.919861
286.132812	-88.368217
287.109375	-87.932465
288.085938	-88.763374
289.062500	-88.713013
290.039062	-89.182266
291.015625	-88.817535
291.992188	-88.438751
292.968750	-88.775208
293.945312	-89.144234
294.921875	-89.145256
295.898438	-87.657997
296.875000	-87.351624
297.851562	-88.272064
298.828125	-88.323814
299.804688	-88.210388
300.781250	-87.846207
301.757812	-88.291092
302.734375	-88.116005
303.710938	-86.916618
304.687500	-86.878906
305.664062	-88.247192
306.640625	-87.021492
307.617188	-87.457153
308.593750	-87.218849
309.570312	-87.931953
310.546875	-87.342354
311.523438	-87.604591
312.500000	-88.587952
313.476562	-87.702446
314.453125	-89.041191
315.429688	-87.336784
316.406250	-87.949043
317.382812	-87.659706
318.359375	-87.077629
319.335938	-87.960640
320.312500	-87.598312
321.289062	-86.556946
322.265625	-87.795021
323.242188	-86.927628
324.218750	-87.511658
325.195312	-87.612350
326.171875	-87.524345
327.148438	-86.200340
328.125000	-87.012993
329.101562	-87.315941
330.078125	-86.842209
331.054688	-86.468506
332.031250	-87.179825
333.007812	-86.388557
333.984375	-86.431259
334.960938	-86.142807
335.937500	-87.066765
336.914062	-85.136528
337.890625	-85.355675
338.867188	-88.002258
339.843750	-85.678207
340.820312	-86.237671
341.796875	-85.354004
342.773438	-85.619720
343.750000	-86.502884
344.726562	-84.507095
345.703125	-85.023476
346.679688	-85.892975
347.656250	-84.414406
348.632812	-83.895699
349.609375	-85.126793
350.585938	-84.759758
351.562500	-83.253960
352.539062	-83.956665
353.515625	-83.267342
354.492188	-84.585701
355.468750	-84.145241
356.445312	-83.991737
357.421875	-83.763809
358.398438	-83.591225
359.375000	-83.229767
360.351562	-82.475616
361.328125	-81.885071
362.304688	-82.938232
363.281250	-83.644562
364.257812	-82.396355
365.234375	-81.293182
366.210938	-82.436798
367.187500	-80.665321
368.164062	-80.993271
369.140625	-81.282578
370.117188	-80.738937
371.093750	-81.705589
372.070312	-80.459488
373.046875	-81.078522
374.023438	-80.917007
375.000000	-81.633987
375.976562	-80.716042
376.953125	-80.684326
377.929688	-79.370239
378.906250	-80.287270
379.882812	-79.912041
380.859375	-79.564308
381.835938	-80.072388
382.812500	-80.117363
383.789062	-79.472092
384.765625	-78.406151
385.742188	-78.538208
386.718750	-78.162231
387.695312	-77.374985
388.671875	-77.961357
389.648438	-79.707405
390.625000	-78.836235
391.601562	-77.981636
