Frequency (Hz)	Level (dB)
0.976562	-85.490646
1.953125	-81.212318
2.929688	-75.717377
3.906250	-73.671722
4.882812	-71.779747
5.859375	-74.780037
6.835938	-74.233627
7.812500	-75.462425
8.789062	-72.305046
9.765625	-70.070480
10.742188	-69.503281
11.718750	-72.331665
12.695312	-72.725792
13.671875	-73.952217
14.648438	-76.912010
15.625000	-74.277916
16.601562	-75.003937
17.578125	-64.236961
18.554688	-75.665024
19.531250	-78.483208
20.507812	-79.223442
21.484375	-75.151901
22.460938	-71.911125
23.437500	-76.003891
24.414062	-76.205673
25.390625	-78.625504
26.367188	-80.347084
27.343750	-81.393944
28.320312	-81.532387
29.296875	-79.774055
30.273438	-79.286163
31.250000	-80.524437
32.226562	-77.086319
33.203125	-74.824928
34.179688	-78.361595
35.156250	-74.370857
36.132812	-77.591324
37.109375	-78.177826
38.085938	-79.130211
39.062500	-82.004387
40.039062	-77.129128
41.015625	-80.423134
41.992188	-82.344620
42.968750	-84.193344
43.945312	-83.798401
44.921875	-85.847336
45.898438	-86.059860
46.875000	-87.951035
47.851562	-86.946335
48.828125	-85.515038
49.804688	-87.176826
50.781250	-85.667557
51.757812	-84.750320
52.734375	-83.292274
53.710938	-84.149818
54.687500	-84.284004
55.664062	-83.909058
56.640625	-83.057388
57.617188	-81.273819
58.593750	-79.909515
59.570312	-75.449417
60.546875	-74.535118
61.523438	-72.624390
62.500000	-74.081062
63.476562	-71.987396
64.453125	-71.913445
65.429688	-73.509247
66.406250	-76.846634
67.382812	-77.160263
68.359375	-78.892311
69.335938	-78.046890
70.312500	-75.476288
71.289062	-81.387894
72.265625	-82.427856
73.242188	-82.281906
74.218750	-80.471672
75.195312	-79.684555
76.171875	-77.985672
77.148438	-79.500648
78.125000	-78.245926
79.101562	-77.549568
80.078125	-75.280090
81.054688	-78.655800
82.031250	-82.863472
83.007812	-82.166229
83.984375	-83.723114
84.960938	-83.398460
85.937500	-83.468864
86.914062	-82.129204
87.890625	-82.344879
88.867188	-82.437813
89.843750	-82.986389
90.820312	-84.183365
91.796875	-84.157898
92.773438	-85.631195
93.750000	-85.013504
94.726562	-84.963150
95.703125	-83.481522
96.679688	-82.424164
97.656250	-82.615356
98.632812	-82.403801
99.609375	-82.179176
100.585938	-85.153076
101.562500	-85.544540
102.539062	-84.958794
103.515625	-84.103645
104.492188	-80.177147
105.468750	-80.686035
106.445312	-83.253807
107.421875	-82.786919
108.398438	-82.407738
109.375000	-82.136261
110.351562	-82.146088
111.328125	-81.365570
112.304688	-83.407257
113.281250	-83.643692
114.257812	-83.697937
115.234375	-83.251320
116.210938	-82.948868
117.187500	-81.002213
118.164062	-77.406860
119.140625	-70.094460
120.117188	-63.733879
121.093750	-74.415955
122.070312	-75.932938
123.046875	-76.830254
124.023438	-79.535110
125.000000	-79.695374
125.976562	-80.617020
