Frequency (Hz)	Level (dB)
0.976562	-85.181458
1.953125	-80.344231
2.929688	-76.204330
3.906250	-76.061333
4.882812	-74.770073
5.859375	-75.329582
6.835938	-77.061195
7.812500	-75.871460
8.789062	-73.520660
9.765625	-72.726547
10.742188	-72.804604
11.718750	-73.258850
12.695312	-76.340073
13.671875	-77.541618
14.648438	-78.183136
15.625000	-72.624046
16.601562	-73.828217
17.578125	-64.358749
18.554688	-79.984856
19.531250	-80.173943
20.507812	-80.074203
21.484375	-76.566231
22.460938	-75.342720
23.437500	-77.895012
24.414062	-80.441833
25.390625	-83.199852
26.367188	-83.738632
27.343750	-83.390732
28.320312	-83.422188
29.296875	-81.608620
30.273438	-79.998116
31.250000	-81.629295
32.226562	-78.171791
33.203125	-75.936333
34.179688	-79.503891
35.156250	-76.142082
36.132812	-81.207451
37.109375	-80.127907
38.085938	-82.474594
39.062500	-85.210541
40.039062	-84.941902
41.015625	-81.949463
41.992188	-81.033279
42.968750	-84.061790
43.945312	-84.212090
44.921875	-85.081055
45.898438	-86.331436
46.875000	-88.839394
47.851562	-89.112114
48.828125	-89.495819
49.804688	-88.652420
50.781250	-87.817070
51.757812	-87.982437
52.734375	-86.328796
53.710938	-85.730919
54.687500	-86.223450
55.664062	-86.471573
56.640625	-83.844414
57.617188	-82.187721
58.593750	-80.984154
59.570312	-79.621635
60.546875	-73.010925
61.523438	-74.212532
62.500000	-74.673714
63.476562	-73.122017
64.453125	-73.039536
65.429688	-76.098274
66.406250	-77.686043
67.382812	-77.470200
68.359375	-80.225937
69.335938	-79.482399
70.312500	-76.129639
71.289062	-83.076332
72.265625	-83.664474
73.242188	-82.519348
74.218750	-81.323441
75.195312	-80.749367
76.171875	-79.195450
77.148438	-80.059349
78.125000	-79.153603
79.101562	-77.793732
80.078125	-75.003525
81.054688	-79.375153
82.031250	-81.127510
83.007812	-84.456596
83.984375	-84.467026
84.960938	-83.598030
85.937500	-83.848602
86.914062	-82.833275
87.890625	-82.861198
88.867188	-84.382446
89.843750	-82.675621
90.820312	-84.539413
91.796875	-83.126694
92.773438	-85.175743
93.750000	-84.561119
94.726562	-86.327240
95.703125	-84.286209
96.679688	-83.205200
97.656250	-82.781860
98.632812	-85.126938
99.609375	-86.351189
100.585938	-86.632698
101.562500	-85.933800
102.539062	-86.550903
103.515625	-88.140785
104.492188	-83.277374
105.468750	-81.988289
106.445312	-84.750343
107.421875	-86.139801
108.398438	-85.835915
109.375000	-85.126862
110.351562	-85.501831
111.328125	-85.614052
112.304688	-86.710793
113.281250	-86.370918
114.257812	-87.199150
115.234375	-86.501968
116.210938	-85.996742
117.187500	-84.634857
118.164062	-81.559898
119.140625	-75.236687
120.117188	-63.813049
121.093750	-78.289978
122.070312	-78.362770
123.046875	-79.442627
124.023438	-84.867767
125.000000	-83.514618
125.976562	-84.890358
126.953125	-82.288277
127.929688	-82.114914
128.906250	-79.884834
129.882812	-80.915382
130.859375	-81.187119
131.835938	-82.141235
132.812500	-83.650429
133.789062	-83.562836
134.765625	-82.407433
135.742188	-81.079811
136.718750	-79.725357
137.695312	-78.290352
138.671875	-78.109177
139.648438	-69.443108
140.625000	-71.072868
141.601562	-77.841042
142.578125	-80.706947
143.554688	-82.553673
144.531250	-83.131233
145.507812	-83.644028
146.484375	-85.083130
147.460938	-83.435509
148.437500	-83.000237
149.414062	-81.825409
150.390625	-80.481995
151.367188	-82.694435
152.343750	-83.082535
153.320312	-81.872604
154.296875	-81.447472
155.273438	-83.361664
156.250000	-81.751656
157.226562	-74.582870
158.203125	-77.720390
159.179688	-79.652031
160.156250	-79.588318
161.132812	-80.193275
162.109375	-79.011597
163.085938	-80.400993
164.062500	-80.326897
165.039062	-82.141060
166.015625	-82.515877
166.992188	-82.916496
167.968750	-84.651772
168.945312	-84.596733
169.921875	-85.654991
170.898438	-86.216171
171.875000	-86.445374
172.851562	-86.486496
173.828125	-87.896233
174.804688	-84.223427
175.781250	-87.164581
176.757812	-88.817581
177.734375	-90.571701
178.710938	-89.509674
179.687500	-89.630554
180.664062	-90.237717
181.640625	-89.747269
182.617188	-91.127617
183.593750	-91.514282
184.570312	-90.148636
185.546875	-90.274208
186.523438	-90.461548
187.500000	-90.589012
188.476562	-90.979408
189.453125	-92.714966
190.429688	-92.625465
191.406250	-92.039398
192.382812	-87.419540
193.359375	-89.005623
194.335938	-90.266777
195.312500	-90.767944
196.289062	-91.641403
197.265625	-91.012878
198.242188	-92.333542
199.218750	-92.644196
200.195312	-91.722977
201.171875	-90.608765
202.148438	-89.230324
203.125000	-87.932068
204.101562	-88.859840
205.078125	-88.101494
206.054688	-87.515152
207.031250	-88.146347
208.007812	-86.169167
208.984375	-79.173332
209.960938	-72.338638
210.937500	-79.376144
211.914062	-87.715263
212.890625	-88.655342
213.867188	-88.882027
214.843750	-89.272102
215.820312	-88.124924
216.796875	-90.620384
217.773438	-88.802010
218.750000	-88.796837
219.726562	-88.981247
220.703125	-90.385254
221.679688	-90.769081
222.656250	-91.725723
223.632812	-93.418961
224.609375	-92.254227
225.585938	-90.575523
226.562500	-88.384232
