Frequency (Hz)	Level (dB)
0.976562	-68.511696
1.953125	-64.695282
2.929688	-62.730030
3.906250	-61.120464
4.882812	-58.165333
5.859375	-56.893414
6.835938	-55.399380
7.812500	-52.813065
8.789062	-48.267376
9.765625	-45.378201
10.742188	-45.723240
11.718750	-47.489674
12.695312	-53.228966
13.671875	-53.823132
14.648438	-55.209057
15.625000	-56.181126
16.601562	-54.887432
17.578125	-53.355114
18.554688	-54.553387
19.531250	-52.807369
20.507812	-51.449329
21.484375	-51.331242
22.460938	-51.219273
23.437500	-51.139874
24.414062	-51.731033
25.390625	-51.986691
26.367188	-54.553417
27.343750	-54.608772
28.320312	-54.516201
29.296875	-55.940800
30.273438	-56.221352
31.250000	-56.163868
32.226562	-55.424679
33.203125	-56.067600
34.179688	-55.961765
35.156250	-56.402584
36.132812	-56.339268
37.109375	-56.668701
38.085938	-56.731586
39.062500	-56.463181
40.039062	-58.002762
41.015625	-57.343636
41.992188	-58.407974
42.968750	-58.927452
43.945312	-58.729198
44.921875	-59.470100
45.898438	-61.092621
46.875000	-60.377811
47.851562	-61.090569
48.828125	-60.074856
49.804688	-60.597019
50.781250	-61.813000
51.757812	-61.770893
52.734375	-62.855812
53.710938	-63.075367
54.687500	-63.000645
55.664062	-63.286179
56.640625	-63.978359
57.617188	-64.521950
58.593750	-64.818703
59.570312	-65.952301
60.546875	-66.334442
61.523438	-67.766121
62.500000	-67.013298
63.476562	-67.156212
64.453125	-69.014732
65.429688	-68.919891
66.406250	-70.148575
67.382812	-69.819649
68.359375	-70.522484
69.335938	-69.955681
70.312500	-71.388893
71.289062	-71.680641
72.265625	-72.142822
73.242188	-72.412140
74.218750	-72.629944
75.195312	-73.740715
76.171875	-73.742805
77.148438	-74.585831
78.125000	-74.640976
79.101562	-73.376801
80.078125	-74.133171
81.054688	-75.651978
82.031250	-76.124634
83.007812	-75.488434
83.984375	-76.417503
84.960938	-75.939308
85.937500	-76.957535
86.914062	-76.265640
87.890625	-77.930313
88.867188	-76.351097
89.843750	-78.722427
90.820312	-78.386429
91.796875	-78.218712
92.773438	-78.116829
93.750000	-77.945000
94.726562	-78.009277
95.703125	-78.848160
96.679688	-79.503624
97.656250	-79.456367
98.632812	-79.717979
99.609375	-79.654747
100.585938	-80.401176
101.562500	-80.217743
102.539062	-80.315758
103.515625	-81.234764
104.492188	-80.565620
105.468750	-80.544662
106.445312	-79.800613
107.421875	-81.800919
108.398438	-81.381866
109.375000	-81.156616
110.351562	-80.999207
111.328125	-83.083992
112.304688	-81.840424
113.281250	-81.733246
114.257812	-82.693459
115.234375	-82.877602
116.210938	-82.614700
117.187500	-81.599503
118.164062	-81.979668
119.140625	-82.462158
120.117188	-81.223000
121.093750	-82.521606
122.070312	-83.680168
123.046875	-83.135559
124.023438	-82.652428
125.000000	-84.872749
125.976562	-84.841301
126.953125	-84.651764
127.929688	-82.597878
128.906250	-84.260796
129.882812	-83.656075
130.859375	-83.827545
131.835938	-85.247711
132.812500	-86.064987
133.789062	-84.032043
134.765625	-83.889603
135.742188	-85.542664
136.718750	-85.492516
137.695312	-85.873459
138.671875	-84.596207
139.648438	-83.786598
140.625000	-84.578682
141.601562	-86.196869
142.578125	-85.888557
143.554688	-85.230850
144.531250	-85.766678
145.507812	-84.861511
146.484375	-84.772232
147.460938	-87.168449
148.437500	-88.082924
149.414062	-84.988541
150.390625	-85.414383
151.367188	-86.195755
