Frequency (Hz)	Level (dB)
0.976562	-84.611855
1.953125	-80.142067
2.929688	-75.303764
3.906250	-73.431778
4.882812	-70.523224
5.859375	-69.854271
6.835938	-69.517868
7.812500	-70.564529
8.789062	-69.624283
9.765625	-67.315796
10.742188	-69.712219
11.718750	-71.815567
12.695312	-71.515938
13.671875	-75.209991
14.648438	-75.496445
15.625000	-72.123924
16.601562	-71.227905
17.578125	-63.926266
18.554688	-77.420311
19.531250	-76.132645
20.507812	-76.022797
21.484375	-77.475266
22.460938	-73.482315
23.437500	-74.613686
24.414062	-77.242546
25.390625	-75.664230
26.367188	-77.018845
27.343750	-77.070984
28.320312	-78.126503
29.296875	-75.298622
30.273438	-76.155396
31.250000	-78.286797
32.226562	-76.189316
33.203125	-75.849503
34.179688	-77.180161
35.156250	-76.593422
36.132812	-77.772774
37.109375	-77.018211
38.085938	-79.186707
39.062500	-77.433304
40.039062	-76.888802
41.015625	-77.256973
41.992188	-78.089752
42.968750	-82.486519
43.945312	-81.724396
44.921875	-84.671349
45.898438	-85.304108
46.875000	-86.984726
47.851562	-87.937553
48.828125	-86.460480
49.804688	-88.793907
50.781250	-85.474602
51.757812	-84.874123
52.734375	-84.116203
53.710938	-84.521759
54.687500	-88.654381
55.664062	-88.230461
56.640625	-86.976135
57.617188	-87.620216
58.593750	-83.279388
59.570312	-84.321922
60.546875	-82.263168
61.523438	-81.066193
62.500000	-80.639000
63.476562	-79.796646
64.453125	-79.600876
65.429688	-81.026390
66.406250	-84.489319
67.382812	-83.066498
68.359375	-82.841751
69.335938	-84.692749
70.312500	-83.919044
71.289062	-84.946907
72.265625	-86.927101
73.242188	-86.872398
74.218750	-86.392784
75.195312	-85.422424
76.171875	-86.464561
77.148438	-85.158012
78.125000	-85.572395
79.101562	-84.560631
80.078125	-82.632988
81.054688	-86.495377
82.031250	-88.515373
83.007812	-89.432777
83.984375	-89.479851
84.960938	-91.055756
85.937500	-92.259819
86.914062	-91.905197
87.890625	-91.905792
88.867188	-90.974648
89.843750	-89.547951
90.820312	-89.134346
91.796875	-88.139809
92.773438	-88.852570
93.750000	-89.581757
94.726562	-90.776299
95.703125	-92.324867
96.679688	-89.802414
97.656250	-89.550743
98.632812	-90.143318
99.609375	-92.381294
100.585938	-92.900627
101.562500	-93.209076
102.539062	-92.934341
103.515625	-92.656189
104.492188	-89.977318
105.468750	-89.350876
106.445312	-89.634239
107.421875	-90.410645
108.398438	-91.357758
109.375000	-92.491714
110.351562	-92.396141
111.328125	-93.016037
112.304688	-92.517204
113.281250	-93.269112
114.257812	-91.778633
115.234375	-93.153145
116.210938	-94.002174
117.187500	-91.980896
118.164062	-89.469559
119.140625	-82.085777
120.117188	-75.292038
121.093750	-84.073601
122.070312	-86.941582
123.046875	-87.857681
124.023438	-91.720253
125.000000	-92.485283
125.976562	-93.032143
126.953125	-92.461441
127.929688	-91.388344
128.906250	-90.695992
129.882812	-91.629387
130.859375	-91.364105
131.835938	-92.297569
132.812500	-93.492630
133.789062	-93.760773
134.765625	-91.607124
135.742188	-91.424515
136.718750	-91.265358
137.695312	-88.929832
138.671875	-90.586441
139.648438	-88.054398
140.625000	-88.602737
141.601562	-89.175545
142.578125	-90.636581
143.554688	-90.865044
144.531250	-91.780350
145.507812	-91.455063
146.484375	-92.097778
147.460938	-93.438782
148.437500	-93.949524
149.414062	-92.961754
150.390625	-91.543861
151.367188	-91.629982
152.343750	-90.654724
153.320312	-91.096939
154.296875	-90.615189
155.273438	-92.337746
156.250000	-89.846779
157.226562	-84.747383
158.203125	-85.724655
159.179688	-90.786690
160.156250	-89.771667
161.132812	-89.328918
162.109375	-89.157242
163.085938	-88.334435
164.062500	-88.868271
165.039062	-89.504478
166.015625	-89.467697
166.992188	-90.461021
167.968750	-90.627136
168.945312	-91.839096
169.921875	-91.391335
170.898438	-91.916382
171.875000	-92.780144
172.851562	-94.467911
173.828125	-93.102165
174.804688	-90.683029
175.781250	-91.446976
176.757812	-93.597328
177.734375	-95.287865
178.710938	-93.202850
179.687500	-94.659592
180.664062	-94.471893
181.640625	-93.941422
182.617188	-93.224380
183.593750	-95.117355
184.570312	-95.637108
185.546875	-95.613541
186.523438	-93.906731
187.500000	-95.112686
188.476562	-95.192863
189.453125	-94.050400
190.429688	-95.459656
191.406250	-94.701538
192.382812	-92.593407
193.359375	-93.733627
194.335938	-95.320282
195.312500	-94.924393
196.289062	-95.237244
197.265625	-95.036705
198.242188	-95.024757
199.218750	-95.461189
200.195312	-94.569946
201.171875	-95.148720
202.148438	-93.718262
203.125000	-92.928604
204.101562	-91.829910
205.078125	-92.219368
206.054688	-91.533455
207.031250	-90.845200
208.007812	-90.154678
208.984375	-82.066490
209.960938	-78.617020
210.937500	-80.802391
211.914062	-88.305992
212.890625	-91.415642
213.867188	-91.692497
214.843750	-91.645370
215.820312	-91.103699
216.796875	-90.416489
217.773438	-90.564865
218.750000	-91.646584
219.726562	-91.772804
220.703125	-91.059875
221.679688	-91.842934
222.656250	-93.199089
223.632812	-93.801735
224.609375	-93.396217
225.585938	-92.123566
226.562500	-89.454025
227.539062	-88.454865
228.515625	-88.858131
229.492188	-90.247391
230.468750	-91.867355
231.445312	-93.550911
232.421875	-92.265671
233.398438	-93.475487
234.375000	-92.151588
235.351562	-92.524117
236.328125	-91.834000
237.304688	-93.859840
238.281250	-92.943939
239.257812	-92.752464
240.234375	-94.446671
241.210938	-94.106918
242.187500	-94.928833
243.164062	-94.538277
244.140625	-95.576706
245.117188	-95.982124
246.093750	-95.427086
247.070312	-95.631393
248.046875	-95.760025
249.023438	-96.346626
250.000000	-96.627907
250.976562	-94.255112
251.953125	-94.361259
252.929688	-95.364174
253.906250	-95.817642
254.882812	-95.279106
255.859375	-95.942719
256.835938	-95.987022
257.812500	-96.893494
258.789062	-95.366684
259.765625	-95.359680
260.742188	-94.926125
261.718750	-94.823784
262.695312	-95.301048
263.671875	-95.236122
264.648438	-93.843521
265.625000	-96.308174
266.601562	-95.591812
267.578125	-96.362000
268.554688	-95.910637
269.531250	-96.575089
270.507812	-96.332428
271.484375	-96.244629
272.460938	-95.564308
273.437500	-95.891861
274.414062	-95.582985
275.390625	-95.719048
276.367188	-96.442825
277.343750	-94.872826
278.320312	-94.798531
279.296875	-94.577148
280.273438	-94.072128
281.250000	-94.851776
282.226562	-95.002876
283.203125	-96.130760
284.179688	-95.409988
285.156250	-95.601181
286.132812	-94.970963
287.109375	-95.455414
288.085938	-95.891495
289.062500	-94.007782
290.039062	-94.995422
291.015625	-95.999382
291.992188	-95.848114
292.968750	-95.150307
293.945312	-95.986687
294.921875	-94.201385
295.898438	-95.433357
296.875000	-93.191124
297.851562	-96.063316
298.828125	-94.729698
299.804688	-95.565880
300.781250	-94.851028
301.757812	-93.789429
302.734375	-95.297363
303.710938	-95.276772
304.687500	-95.210091
305.664062	-93.942383
306.640625	-93.559715
307.617188	-94.377762
308.593750	-94.957962
309.570312	-92.465080
310.546875	-93.662148
311.523438	-93.548859
312.500000	-93.220421
313.476562	-93.817543
314.453125	-92.605309
315.429688	-93.674149
316.406250	-94.503143
317.382812	-93.438683
318.359375	-94.052368
319.335938	-93.999023
320.312500	-93.727798
321.289062	-94.005432
322.265625	-94.618164
323.242188	-94.971352
324.218750	-94.153427
325.195312	-95.405083
326.171875	-95.151749
327.148438	-94.497696
328.125000	-95.221001
329.101562	-94.856079
330.078125	-95.972458
331.054688	-93.972893
332.031250	-94.327385
333.007812	-93.285622
333.984375	-94.523689
334.960938	-94.232491
335.937500	-93.572235
336.914062	-93.743759
337.890625	-93.889206
338.867188	-94.199776
339.843750	-96.896873
340.820312	-96.351822
341.796875	-96.843468
342.773438	-95.410133
343.750000	-96.018021
344.726562	-95.331398
345.703125	-95.253151
346.679688	-95.969131
347.656250	-94.657623
348.632812	-93.268776
349.609375	-94.189819
350.585938	-95.090584
351.562500	-93.809166
352.539062	-94.863426
353.515625	-95.465675
354.492188	-94.734474
355.468750	-94.574661
356.445312	-93.780235
357.421875	-94.607216
358.398438	-94.152580
359.375000	-92.485252
360.351562	-94.225426
361.328125	-95.026764
362.304688	-93.724747
363.281250	-92.364975
364.257812	-94.194595
365.234375	-93.899246
366.210938	-93.624390
367.187500	-92.270325
368.164062	-93.914024
369.140625	-93.807335
370.117188	-94.347107
371.093750	-94.015480
372.070312	-94.774101
373.046875	-94.967598
374.023438	-95.724075
375.000000	-95.747070
375.976562	-93.873833
376.953125	-95.565384
377.929688	-95.487556
378.906250	-93.165871
379.882812	-94.644081
380.859375	-93.613976
381.835938	-92.836174
382.812500	-94.528381
383.789062	-93.889191
384.765625	-94.969185
385.742188	-94.928963
386.718750	-93.922508
387.695312	-96.030396
388.671875	-94.550926
389.648438	-93.864395
390.625000	-95.194221
391.601562	-96.430420
392.578125	-95.114006
393.554688	-93.655098
394.531250	-94.341759
395.507812	-95.703316
396.484375	-95.573090
397.460938	-95.279007
398.437500	-95.310707
399.414062	-96.161507
400.390625	-96.308800
401.367188	-95.640923
402.343750	-96.612450
403.320312	-95.208511
404.296875	-95.583847
405.273438	-96.209557
406.250000	-94.808250
407.226562	-96.356537
408.203125	-95.333214
409.179688	-92.430191
410.156250	-94.904709
411.132812	-96.721848
412.109375	-96.301254
413.085938	-96.035652
414.062500	-95.650772
415.039062	-95.287659
416.015625	-95.501343
416.992188	-95.468750
417.968750	-95.019661
418.945312	-92.939415
419.921875	-93.505173
420.898438	-93.966263
421.875000	-94.966286
422.851562	-95.008438
423.828125	-97.725876
424.804688	-98.591408
425.781250	-97.853958
426.757812	-97.609688
427.734375	-97.039467
428.710938	-95.860153
429.687500	-95.767052
430.664062	-96.345207
431.640625	-96.238129
432.617188	-95.848419
433.593750	-96.000099
434.570312	-97.901909
435.546875	-97.536232
436.523438	-96.797005
437.500000	-97.314560
438.476562	-97.269165
439.453125	-97.114639
440.429688	-96.591431
441.406250	-97.698486
442.382812	-98.234192
443.359375	-97.813988
444.335938	-96.701683
445.312500	-97.293816
446.289062	-96.680679
447.265625	-97.176308
448.242188	-96.506424
449.218750	-95.176346
450.195312	-97.369591
451.171875	-97.750381
452.148438	-97.759483
453.125000	-96.586624
454.101562	-97.311264
455.078125	-97.364578
456.054688	-96.946167
457.031250	-97.457176
458.007812	-96.150070
458.984375	-96.274269
459.960938	-96.112549
460.937500	-96.025894
461.914062	-97.349136
462.890625	-96.858116
463.867188	-96.840843
464.843750	-96.294838
465.820312	-97.033752
466.796875	-97.217087
467.773438	-96.861946
468.750000	-95.411209
469.726562	-95.417702
470.703125	-96.852219
471.679688	-96.043144
472.656250	-96.790474
473.632812	-96.470238
474.609375	-95.093956
475.585938	-96.083122
476.562500	-96.884087
477.539062	-96.394524
478.515625	-95.259109
479.492188	-94.687309
480.468750	-95.076126
481.445312	-95.665138
482.421875	-95.781357
483.398438	-95.079903
484.375000	-95.490662
485.351562	-95.506508
486.328125	-94.745430
487.304688	-93.866966
488.281250	-94.509018
489.257812	-95.392609
490.234375	-95.179352
491.210938	-96.246025
492.187500	-94.826515
493.164062	-96.703697
494.140625	-95.874329
495.117188	-96.372299
496.093750	-95.121620
497.070312	-95.302109
498.046875	-94.618492
499.023438	-96.645676
500.000000	-95.731995
500.976562	-95.294960
501.953125	-95.396141
502.929688	-94.823051
503.906250	-95.190277
504.882812	-96.327438
505.859375	-95.450920
506.835938	-95.285225
507.812500	-95.022675
508.789062	-96.645355
509.765625	-96.316673
510.742188	-94.712570
511.718750	-95.375702
512.695312	-94.714882
513.671875	-95.531746
514.648438	-94.341270
515.625000	-95.113914
516.601562	-94.736664
517.578125	-96.155540
518.554688	-95.103630
519.531250	-95.020309
520.507812	-96.148346
521.484375	-95.456055
522.460938	-96.421875
523.437500	-95.531403
524.414062	-94.813370
525.390625	-94.814323
526.367188	-96.605003
527.343750	-95.213272
528.320312	-95.545952
529.296875	-95.351585
530.273438	-94.847496
531.250000	-94.352814
532.226562	-94.167473
533.203125	-94.473351
534.179688	-95.647636
535.156250	-95.206047
536.132812	-94.359604
537.109375	-95.340965
538.085938	-95.257896
539.062500	-95.455452
540.039062	-94.975510
541.015625	-95.688911
541.992188	-95.389107
542.968750	-93.979340
543.945312	-92.754501
544.921875	-93.772980
545.898438	-95.547890
546.875000	-95.382965
547.851562	-94.234207
548.828125	-94.999107
549.804688	-94.461014
550.781250	-95.845444
551.757812	-95.357506
552.734375	-94.571915
553.710938	-95.027504
554.687500	-94.036690
555.664062	-94.798286
556.640625	-95.107941
557.617188	-94.579704
558.593750	-92.980797
559.570312	-94.255981
560.546875	-94.427132
561.523438	-94.050339
562.500000	-94.238037
563.476562	-94.592850
564.453125	-94.354401
565.429688	-94.370476
566.406250	-95.229156
567.382812	-92.652420
568.359375	-94.200645
569.335938	-93.585594
570.312500	-93.605347
571.289062	-94.404419
572.265625	-93.568039
