Frequency (Hz)	Level (dB)
0.976562	-85.613174
1.953125	-81.485008
2.929688	-78.946350
3.906250	-76.239578
4.882812	-74.501854
5.859375	-74.748604
6.835938	-77.001442
7.812500	-77.454506
8.789062	-73.748627
9.765625	-73.211159
10.742188	-72.473274
11.718750	-74.075180
12.695312	-75.773239
13.671875	-77.097496
14.648438	-76.343483
15.625000	-72.658409
16.601562	-75.505600
17.578125	-64.701797
18.554688	-79.230537
19.531250	-79.996475
20.507812	-77.599388
21.484375	-74.580894
22.460938	-73.386818
23.437500	-77.132736
24.414062	-77.825340
25.390625	-77.601967
26.367188	-80.311348
27.343750	-80.611168
28.320312	-79.873802
29.296875	-78.794891
30.273438	-77.904343
31.250000	-79.215462
32.226562	-78.383209
33.203125	-76.553864
34.179688	-77.133247
35.156250	-72.509232
36.132812	-79.190155
37.109375	-77.566177
38.085938	-79.808258
39.062500	-82.771530
40.039062	-82.941116
41.015625	-80.905830
41.992188	-81.394966
42.968750	-82.376511
43.945312	-83.728928
44.921875	-83.077103
45.898438	-83.345230
46.875000	-85.834198
47.851562	-86.787498
48.828125	-86.353134
49.804688	-85.846802
50.781250	-86.564056
51.757812	-86.381294
52.734375	-85.801559
53.710938	-84.499474
54.687500	-86.891945
55.664062	-88.607224
56.640625	-86.924133
57.617188	-86.109161
58.593750	-85.811119
59.570312	-84.551208
60.546875	-82.596992
61.523438	-79.846313
62.500000	-78.848694
63.476562	-79.375465
64.453125	-80.507431
65.429688	-81.887871
66.406250	-84.889404
67.382812	-84.017952
68.359375	-84.483383
69.335938	-83.839981
70.312500	-81.784409
71.289062	-87.407410
72.265625	-88.167694
73.242188	-87.035645
74.218750	-87.071869
75.195312	-87.218933
76.171875	-85.184456
77.148438	-86.422867
78.125000	-86.573021
79.101562	-84.703835
80.078125	-84.831841
81.054688	-86.002426
82.031250	-89.777809
83.007812	-91.429123
83.984375	-90.513702
84.960938	-90.988785
85.937500	-90.680931
86.914062	-91.198280
87.890625	-90.684418
88.867188	-90.987679
89.843750	-89.939964
90.820312	-90.883865
91.796875	-90.994377
92.773438	-90.935074
93.750000	-92.500542
94.726562	-91.764305
95.703125	-92.278526
96.679688	-91.530968
97.656250	-90.024849
98.632812	-91.484818
99.609375	-91.248871
100.585938	-91.609550
101.562500	-92.694214
102.539062	-92.208328
103.515625	-94.445274
104.492188	-91.046432
105.468750	-91.095146
106.445312	-92.099579
107.421875	-92.472969
108.398438	-93.373047
109.375000	-93.313309
110.351562	-92.351471
111.328125	-91.746689
112.304688	-93.399292
113.281250	-93.018372
114.257812	-93.457497
115.234375	-93.497375
116.210938	-93.275909
117.187500	-92.277496
118.164062	-91.401588
119.140625	-84.851311
120.117188	-75.717659
121.093750	-87.763405
122.070312	-88.320312
123.046875	-88.200317
124.023438	-90.877388
125.000000	-91.322441
125.976562	-91.495537
126.953125	-89.743996
127.929688	-88.659157
128.906250	-88.794281
129.882812	-88.874695
130.859375	-90.133606
131.835938	-88.708549
132.812500	-91.110725
133.789062	-91.231766
134.765625	-90.394417
135.742188	-89.486923
136.718750	-90.070671
137.695312	-88.681358
138.671875	-87.686684
139.648438	-83.728661
140.625000	-84.684357
141.601562	-89.237610
142.578125	-90.184479
143.554688	-91.475555
144.531250	-92.890701
145.507812	-93.012619
146.484375	-93.604210
147.460938	-92.169159
148.437500	-91.038773
149.414062	-91.319801
150.390625	-90.979950
151.367188	-90.161522
152.343750	-89.531837
153.320312	-87.588005
154.296875	-89.209557
155.273438	-88.979668
156.250000	-87.958023
157.226562	-83.044090
158.203125	-85.573471
159.179688	-87.240746
160.156250	-87.854553
161.132812	-85.998573
162.109375	-86.488075
163.085938	-87.661682
164.062500	-88.228615
165.039062	-89.011879
166.015625	-89.186638
166.992188	-89.567307
167.968750	-88.840279
168.945312	-91.697296
