Frequency (Hz)	Level (dB)
0.976562	-47.347942
1.953125	-46.458599
2.929688	-47.607525
3.906250	-46.982380
4.882812	-47.119221
5.859375	-46.679367
6.835938	-46.799526
7.812500	-46.500240
8.789062	-45.963974
9.765625	-46.819038
10.742188	-47.531544
11.718750	-46.836948
12.695312	-47.393497
13.671875	-48.240555
14.648438	-47.232616
15.625000	-47.625977
16.601562	-46.763485
17.578125	-47.190567
18.554688	-46.757664
19.531250	-46.460022
20.507812	-46.877090
21.484375	-47.204002
22.460938	-46.941132
23.437500	-46.091965
24.414062	-45.951458
25.390625	-47.407356
26.367188	-47.695923
27.343750	-46.166840
28.320312	-46.657661
29.296875	-46.699139
30.273438	-47.163082
31.250000	-46.876858
32.226562	-46.866295
33.203125	-46.508286
34.179688	-46.972477
35.156250	-47.067032
36.132812	-47.523869
37.109375	-47.159977
38.085938	-47.568867
39.062500	-47.168797
40.039062	-47.026493
41.015625	-46.944427
41.992188	-47.139687
42.968750	-46.937893
43.945312	-46.198460
44.921875	-47.468132
45.898438	-47.415485
46.875000	-47.743671
47.851562	-46.960392
48.828125	-47.114685
49.804688	-46.791004
50.781250	-47.110378
51.757812	-46.562046
52.734375	-46.213257
53.710938	-46.910400
54.687500	-46.896534
55.664062	-47.194469
56.640625	-47.027962
57.617188	-47.460548
58.593750	-47.197010
59.570312	-46.580410
60.546875	-46.442894
61.523438	-46.290348
62.500000	-47.248684
63.476562	-46.771145
64.453125	-47.162930
65.429688	-47.125385
66.406250	-46.736958
67.382812	-46.852116
68.359375	-46.544949
69.335938	-47.342278
70.312500	-47.140636
71.289062	-46.769329
72.265625	-47.994507
73.242188	-47.060032
74.218750	-47.219505
75.195312	-46.961288
76.171875	-47.288509
77.148438	-46.882938
78.125000	-47.172047
79.101562	-47.087162
80.078125	-46.238235
81.054688	-46.476143
82.031250	-47.108643
83.007812	-47.380486
83.984375	-47.220051
84.960938	-46.670887
85.937500	-46.472092
86.914062	-46.144596
87.890625	-46.800636
88.867188	-47.152138
89.843750	-46.900314
90.820312	-46.421524
91.796875	-47.017349
92.773438	-46.607895
93.750000	-46.109177
94.726562	-46.720798
95.703125	-47.030617
96.679688	-46.866177
97.656250	-47.377819
98.632812	-46.957695
99.609375	-46.277130
100.585938	-47.540901
101.562500	-46.913479
102.539062	-47.310078
103.515625	-46.800503
104.492188	-46.678841
105.468750	-46.705406
106.445312	-47.318775
107.421875	-47.114651
108.398438	-46.539581
109.375000	-46.218826
110.351562	-47.189045
111.328125	-46.455231
112.304688	-46.731770
113.281250	-46.764790
114.257812	-46.427460
115.234375	-46.687771
116.210938	-47.294666
117.187500	-47.003593
118.164062	-46.905830
119.140625	-47.607670
